Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date,Annual_Spend,Signup_Year,Tenure_Group,Spend_Group
C000001,18.0,Female,South,9,Standard,34.02,1,0.0,2024-02-17,408.24,2024,6-12 mo,Q3
C000002,18.0,Male,Central,60,Basic,6.96,2,0.0,2023-01-05,83.52,2023,2-5 yr,Q1 low
C000003,53.0,Female,Central,13,Standard,19.16,3,0.0,2020-09-18,229.92000000000002,2020,1-2 yr,Q2
C000004,27.0,Female,North,91,Basic,15.29,0,0.0,2024-10-30,183.48,2024,5-10 yr,Q1 low
C000005,38.0,Female,North,71,Standard,37.09,0,0.0,2021-07-20,445.08000000000004,2021,5-10 yr,Q3
C000006,26.0,Male,East,29,Standard,23.91,2,0.0,2024-10-17,286.92,2024,2-5 yr,Q2
C000007,25.0,Female,South,65,Standard,34.73,2,1.0,2021-11-02,416.76,2021,5-10 yr,Q3
C000008,22.0,Non-binary,South,54,Basic,16.76,0,0.0,2024-02-26,201.12,2024,2-5 yr,Q2
C000009,23.0,Female,West,59,Standard,34.91,2,,2021-11-27,418.91999999999996,2021,2-5 yr,Q3
C000010,27.0,Female,West,21,Basic,17.04,3,0.0,2019-12-08,204.48,2019,1-2 yr,Q2
C000011,28.0,Female,East,55,Enterprise,136.29,0,0.0,2023-08-29,1635.48,2023,2-5 yr,Q4 high
C000012,23.0,Female,South,10,Standard,16.8,4,0.0,2019-09-10,201.60000000000002,2019,6-12 mo,Q2
C000013,25.0,Female,East,99,Basic,19.94,1,0.0,2023-12-01,239.28000000000003,2023,5-10 yr,Q2
C000014,46.0,Male,West,89,Standard,29.82,2,0.0,2020-01-17,357.84000000000003,2020,5-10 yr,Q3
C000015,41.0,Female,East,87,Standard,24.29,2,1.0,2021-05-01,291.48,2021,5-10 yr,Q2
C000016,28.0,Male,North,92,Basic,8.47,3,1.0,2025-02-13,101.64000000000001,2025,5-10 yr,Q1 low
C000017,27.0,Male,Central,102,Standard,30.87,1,0.0,2023-07-19,370.44,2023,5-10 yr,Q3
